rsrp_mean,rsrp_std,rsrq_mean,rsrq_std,sinr_mean,sinr_std,sinr_min,sinr_max,prb_dl_mean,prb_ul_mean,mcs_dl_mode,mcs_ul_mode,app_dl_mean,app_dl_std,d_rsrp_mean,d_rsrq_mean,d_sinr_mean,d_sinr_std,d_app_dl_mean,rsrp_rsrq_ratio,sinr_range,throughput_per_prb,prb_util_ratio,sinr_cv,throughput_efficiency,hour_sin,hour_cos,is_single_rru,scenario_level,ohe_pci_mode_0,ohe_pci_mode_1,ohe_scenario_id_0,ohe_scenario_id_1,ohe_scenario_id_2,ohe_scenario_id_3,weak_label,ts_start_ns
-0.15551063,0.03018453,0.5300456,-0.4533554,0.23927537,-0.15386935,0.21222375,0.20669419,0.20265828,-0.46323416,0.32421744,0.27353206,0.68332,-0.5677728,0.0067634922,0.0021528103,0.010898375,-0.0019516795,3.5652878e-10,-0.975563,-0.117217794,0.6766339,0.47975683,-0.08416354,0.0373774,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000000000000000
-0.14161113,-0.3022331,0.4969742,-0.3943879,0.31221595,-0.27898934,0.29244548,0.2836755,0.17400625,-0.46323416,-0.07000314,0.27353206,0.68332,-0.5677728,0.05226002,-0.056750294,0.2330857,-0.117256336,3.5652878e-10,-0.8992263,-0.1643432,0.67909414,0.4781725,-0.085489534,0.03656303,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000005150000128
-0.1613647,-0.6953409,0.4749264,-0.45335472,0.25948778,-0.5321481,0.364645,0.18744875,0.059404667,-0.46323416,-0.07000314,-0.0022160811,0.68332,-0.5677728,-0.05789485,-0.037116237,-0.14971909,-0.23525083,3.5652878e-10,-0.88728076,-0.6120327,0.6889727,0.47181472,-0.087388664,0.037144963,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000010296999936
-0.15258527,-0.95827025,0.4804385,-0.47767642,0.23927537,0.027833972,0.1801351,0.2932982,0.1453564,-0.46323416,0.19281058,0.27353206,0.68332,-0.5677728,0.035500735,0.011970307,-0.05067149,0.51410127,3.5652878e-10,-0.8851635,0.18909596,0.6815579,0.47658822,-0.082640685,0.0373774,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000015422000128
-0.061866228,-0.7155102,0.47492695,-0.41136417,0.37636846,-0.3878512,0.42080027,0.3029209,0.20265828,-0.46323416,0.32421744,0.27353206,0.68332,-0.5677728,0.30370954,-0.0076637496,0.4285034,-0.38502747,3.5652878e-10,-0.75541884,-0.49421966,0.6766339,0.47975683,-0.08656128,0.035899162,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000020520998912
-0.009922553,-0.37921205,0.47492695,-0.39438778,0.43261176,-0.35520384,0.4849776,0.39914766,0.17400625,-0.46323416,0.32421744,0.27353206,0.68332,-0.5677728,0.17678808,0.0021528103,0.1822234,0.028134575,3.5652878e-10,-0.6865792,-0.44709426,0.67909414,0.4781725,-0.08647629,0.035353433,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000025641000960
-0.07283981,-0.6872156,0.48595056,-0.47604296,0.36494395,-0.4617846,0.45288894,0.3606568,0.1453564,-0.46323416,0.19281058,0.27353206,0.68332,-0.5677728,-0.19918036,0.021786867,-0.19522737,-0.10017146,3.5652878e-10,-0.788813,-0.4470947,0.6815579,0.47658822,-0.08710518,0.03601404,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000030798999552
0.013489246,-0.5869915,0.4804385,-0.47767642,0.533674,-0.3039056,0.50904405,0.53386503,0.11670655,-0.46323416,0.32421744,0.54928017,0.68332,-0.5677728,0.28934,-0.0076646856,0.524874,0.14354216,3.5652878e-10,-0.6648596,-0.18790545,0.68402547,0.4749998,-0.086388186,0.034448747,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000035936002048
0.050069347,-0.22626834,0.519022,-0.4698154,0.49852195,-0.101233765,0.5250884,0.562733,0.23130596,-0.26725262,0.45562428,0.27353206,0.68332,-0.5677728,0.12649927,0.07087341,-0.09617976,0.18482108,3.5652878e-10,-0.68166023,-0.1643432,0.67417794,0.27938113,-0.084809646,0.034753036,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000041057996800
0.099818304,-0.40545756,0.5079978,-0.46981522,0.5494925,-0.24286234,0.54113287,0.5434877,0.1453564,-0.41423884,0.5870311,0.54928017,0.68332,-0.5677728,0.16960423,-0.017482182,0.1661618,-0.13246988,3.5652878e-10,-0.59659505,-0.25859356,0.6815579,0.42586982,-0.08599818,0.034315225,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000046206001152
-0.026749644,-0.99845403,0.48595056,-0.47604296,0.3297919,-0.60121226,0.39673367,0.24518484,0.17400625,-0.46323416,0.19281058,0.54928017,0.68332,-0.5677728,-0.4075249,-0.037115302,-0.65834063,-0.33219,3.5652878e-10,-0.7276137,-0.5649073,0.67909414,0.4781725,-0.08811988,0.036376517,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000051348000768
0.04641167,0.042703725,0.44736657,-0.45987314,0.45546064,0.237461,0.29244548,0.6397145,0.20265828,-0.46323416,0.19281058,0.54928017,0.68332,-0.5677728,0.24623871,-0.06656873,0.3937032,0.7709299,3.5652878e-10,-0.56585646,0.7074736,0.6766339,0.47975683,-0.08212456,0.035140704,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000056488996864
0.29442415,-0.48417464,0.5135104,-0.5568919,0.6681308,-0.23784411,0.6694875,0.73594123,0.23130596,-0.46323416,0.5870311,0.54928017,0.68332,-0.5677728,0.8185701,0.11996089,0.6587218,-0.43997037,3.5652878e-10,-0.34625834,-0.16434275,0.67417794,0.48134112,-0.086298406,0.033375986,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000061571997696
-0.0018743282,-0.43818882,0.4914621,-0.47767642,0.38515636,-0.37809578,0.40475586,0.34141156,-0.08384677,-0.31624794,0.06140372,0.54928017,0.68332,-0.5677728,-0.9630952,-0.037117172,-0.8510818,-0.13120098,3.5652878e-10,-0.70394623,-0.3528439,0.70140827,0.3109932,-0.08651168,0.03581174,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000066695999488
0.0690906,-0.9144533,0.4914621,-0.47767642,0.4308543,-0.4733973,0.47695538,0.34141156,0.17400625,-0.36524352,0.45562428,0.54928017,0.68332,-0.5677728,0.23904936,0.0021528103,0.15010072,-0.089777045,3.5652878e-10,-0.60962874,-0.5649073,0.67909414,0.37689212,-0.08736337,0.035370007,0.0,0.0,-0.5724892,-1.4633375,0.0,1.0,1.0,0.0,0.0,0.0,0,1700000071837999104
